yyyy,êÖéY,çzã∆,åöê›,êHïi,ë@à€,ÉpÉãÉvÅEéÜ,âªäwçHã∆,à„ñÚïi,êŒñ˚,ÉSÉÄ,óqã∆,ìSç|ã∆,îÒìSã‡ëÆã‡ëÆêªïi,ã@äB,ìdãCã@äÌ,ë¢ëD,é©ìÆé‘ÅEìØïîïi,ÇªÇÃëºóAëóã@äÌ,ê∏ñßã@äÌ,ÇªÇÃëºêªë¢ã∆,è§é–,è¨îÑã∆,ã‚çs,èÿåî,ï€åØ,ÇªÇÃëºã‡óZã∆,ïsìÆéY,ìSìπÅEÉoÉX,ó§â^,äCâ^,ãÛâ^,ëqå…ÅEâ^óAä÷òA,í êM,ìdóÕ,ÉKÉX,ÉTÅ[ÉrÉXã∆
1973,-7.808577406,43.47379591,-37.02548102,-19.53384398,-6.530432549,-16.158672,-7.051164159,-18.25629023,-10.67184644,-18.43431847,-20.75935829,-15.13963506,-13.55973141,-27.94117647,-18.95280811,0.434027778,-34.47675738,-35.57006369,-11.66015625,-22.88977965,-23.17154426,-18.94113192,-23.32936461,-14.19166667,-53.6232969,-22.60724234,-38.55808848,-16.38834407,-29.3986637,-28.51800148,-29.36611847,-14.74439462,-27.52663526,-29.7737983,-26.2746988,-14.71433755
1974,-34.45850116,-35.20387469,14.45774842,3.697348531,-30.64332535,-18.39552362,-1.254451919,12.05440229,-21.51019016,14.44498303,6.775543258,-3.866993669,-5.69464625,2.69139914,-18.65450783,-38.89369058,11.40580491,24.22025604,-11.98319699,2.614182692,-20.62708472,-11.99406479,-7.561076967,-14.85481208,-20.43814136,0,-13.2278694,-5.177440434,2.586750789,-10.76526184,-5.262444053,17.67830844,9.546679161,7.811032076,-17.11334815,-11.6078149
1975,-6.387951182,-1.933132042,46.67829015,47.48640769,28.47764573,5.570657687,11.79016551,23.95873259,-8.577326308,12.49470563,10.16727763,10.35894393,3.828148148,25.91824421,64.89884051,22.02263083,36.9406724,35.71684374,55.58067487,24.23133236,34.52961282,33.98900962,1.56871096,51.22841435,55.9822619,10.90075823,8.333830638,-7.315521628,1.088560886,-21.72867526,-19.89024099,0,3.664991446,7.606124735,12.20820189,-2.865605331
1976,0.702727693,-8.320504637,0.073779563,22.31601443,13.65958946,16.89085319,22.62054132,56.53843181,75.39512775,9.080070281,9.886789566,-12.01010698,3.435876948,17.69638525,49.11298857,-16.10061435,44.13352846,-12.15293048,36.87099726,39.27872717,4.750203045,20.0144475,10.18240268,32.99242767,59.40687887,23.34754105,2.214449004,5.974986654,18.22108657,-13.94939418,73.92625246,-4.040584633,89.58456897,6.050439611,-6.571549058,-3.316054277
1977,46.83683776,13.36773559,7.630554987,-6.595470528,-22.31523466,-0.466874897,-9.904984651,2.811476354,11.32152173,12.30224932,-1.876022415,-3.604814566,4.706726259,-2.13740458,-24.81564797,-5.554020448,-26.12958003,45.18389961,-15.89926077,-19.72956049,-24.60238569,-4.160922665,1.114212017,-17.75400948,-22.09866182,-10.81213822,33.5722562,32.98672328,6.391519144,-29.40067394,18.26900024,1.443942429,8.180198316,55.92887531,38.6970586,22.25814082
1978,-0.937968984,11.64336549,9.376664891,22.45084056,51.80344225,17.19684207,40.55229257,85.8579228,6.381424789,30.80449761,22.83626561,56.84857704,34.32230185,27.43369735,46.7248,-3.196313634,35.31293694,22.19310345,38.37810038,19.23003943,27.97626895,21.45056726,6.044955567,20.65974377,46.94149334,-0.377610825,8.390155336,1.996699224,45.31779046,28.13796238,9.970750919,-2.461086368,39.042913,11.83713446,10.71757878,29.79814265
1979,-7.581113496,87.25084132,-23.10034096,-14.82117966,-10.81534063,-8.681191691,-0.750334765,-17.07800319,99.16185136,2.097121598,-5.833092694,-13.19405156,-4.162579936,3.391075473,4.605083803,35.59501322,3.423937791,-16.00632126,3.878771497,-6.915758948,14.927372,-1.925001668,10.19599337,-10.57558233,-13.81859655,22.29241521,-6.169852407,-5.021353352,-19.74503212,46.51678418,-4.031705904,-12.59709081,-21.20540761,-16.02652321,-12.54592662,-20.67423546
1980,-2.049040366,20.7714108,-1.714738152,6.926853326,18.23642125,-3.024784716,7.760124683,8.552877623,9.502606897,-1.660881072,17.48236737,15.54862437,43.83494351,8.766009512,25.3028376,18.69497381,-7.538990398,-2.356314115,28.77215807,1.888262001,12.57081391,-8.878456985,8.465296044,19.68533122,0.628611265,-0.242146386,-5.306065775,-3.275987265,3.848865663,-3.580400109,-6.217929369,8.240426563,-8.255006599,1.795292014,7.517365001,12.87776769
1981,10.0481138,-33.99009844,6.826708403,4.18876706,9.324648612,-15.22008975,-3.406368052,38.81025523,-23.68603995,-9.03949293,15.02701574,-4.407558116,-11.78278689,-1.598475914,12.56842876,20.49199568,20.73222102,-7.868055237,-1.266702028,3.913489326,1.34571283,-13.2526972,29.1695536,61.4471984,46.04346958,8.924525859,-2.304195731,-4.452400889,-11.34629977,-12.53688242,-0.658337478,-8.434094641,-4.902304171,4.061470911,-1.057622174,7.588158588
1982,-5.70903561,6.611319446,0.224075151,-1.819023281,-5.878160723,14.02935766,13.47352895,9.515536343,4.042556848,0.574614065,-4.023327585,-11.08020399,21.82539683,-6.341040676,18.81231292,-16.60562612,6.007190425,-12.53610198,11.09377198,1.921627732,-7.297641309,14.81688686,4.592592593,14.75949836,9.496281407,-6.229293875,-0.906966273,7.22855157,6.838453915,-24.33606087,-4.78027804,-8.705575481,29.45292872,3.677918425,5.402559107,23.01046985
