yyyymm,等ウェイト,高配当,最小分散,クオリティ,企業価値,市場指数
200908,2.318460192,1.289921517,2.020753687,1.819800218,1.450495976,1.283844024
200909,-5.034202651,-6.052934407,-2.569593148,-1.107333657,-5.848168988,-5.099932359
200910,-2.476083286,-1.559692961,-3.351648352,-1.817110304,-0.842559028,-1.435280563
200911,-6.79746105,-4.653670676,-4.343376919,-3.531412565,-6.787866812,-5.809864387
200912,8.741951461,3.149469288,4.457387377,6.83397283,9.645961416,8.907913003
201001,-0.72876338,2.142375169,-0.466545289,-1.135701805,-0.106341841,-0.772543794
201002,-0.229410415,1.156069364,-0.50302961,-0.157093765,-0.532275235,-0.874905113
201003,10.41618763,8.187755102,6.928645295,8.732422067,11.26678342,10.46291296
201004,2.217825906,-0.060363691,0.612508059,0.913448494,0.979363414,0.455951365
201005,-10.90964653,-8.622121555,-8.266581224,-10.31546872,-10.92829927,-10.99491263
201006,-3.956094214,-0.4626952,-0.314355571,0.219846108,-5.33735174,-4.743633074
201007,0.511904762,-1.162115049,-0.467180565,-1.685113172,1.417274314,1.421326154
201008,-5.874689092,-1.142185269,-3.039192678,-4.929006085,-5.012658228,-5.315471046
201009,4.555178055,0.322827287,1.016579935,2.517601878,4.573560768,4.101193193
201010,-2.262606812,-1.346430688,-1.785072481,-1.165452653,-1.508818432,-1.612802205
201011,6.267701022,3.330472103,3.769212003,4.569383028,6.262291688,6.185610763
201012,4.878331402,4.627014454,2.915246268,3.544099879,4.354178843,4.200597516
201101,1.005413766,-0.007939659,0.662478584,-0.554259043,1.37216466,1.14589826
201102,3.883176548,4.708591393,4.141608987,3.5787621,4.594843462,4.562002275
201103,-6.159839949,-6.764237507,-7.430812813,-5.173227603,-7.993661414,-8.066768215
201104,-1.772890485,-2.505083367,-1.530131827,0.109507218,-2.229451727,-1.74170324
201105,-1.416495316,-2.786351881,-0.513985178,-0.248607796,-1.536504208,-1.505585723
201106,1.726535342,1.046940702,1.946413553,1.575117137,1.152966902,0.869263928
201107,-0.91126552,-0.101910828,-1.096051856,0.696829915,-0.736955881,-1.032510962
201108,-7.023795839,-6.554450395,-3.014775977,-5.994152047,-9.097208474,-8.982237648
201109,0.506923838,1.109898108,2.359012164,-1.202695697,-1.067189372,-0.796312289
201110,-0.282937631,-0.5938456,-1.464410035,1.742050582,0.649422124,0.912369561
201111,-4.712558599,-4.145546705,-3.386526983,-5.78648788,-4.636920385,-4.833180219
201112,0.491973071,2.219074599,1.513050057,0.361287497,0.114678899,-0.060039555
201201,2.834321051,2.688221709,0.521674326,2.563543144,3.871706758,3.584512268
201202,9.734402405,9.688736956,7.735079699,9.646883642,11.91001323,11.5106441
201203,3.573467291,1.738702534,3.968344994,3.453293239,2.670476941,3.108364437
201204,-5.764991182,-5.215638855,-4.247104247,-4.078762307,-6.891256359,-6.074812573
201205,-10.87846532,-8.598401089,-7.292626728,-9.716520039,-11.06071539,-10.55557896
201206,7.153169707,7.899879036,6.959115198,5.435253356,6.72229949,6.991994349
201207,-4.89955904,-1.24180752,-2.741954223,-0.636681043,-5.592962641,-4.455374729
201208,-0.643997939,-1.274886483,1.612710548,2.914427449,-1.414931554,-0.468732005
201209,1.879699248,3.228374315,1.422525276,1.576621812,2.053675613,1.746062969
201210,1.170632396,0.488390027,-0.39411151,-0.78101829,1.109078436,0.813128326
201211,4.691233807,3.359481583,2.304201094,2.411319251,5.30362999,5.629068102
201212,9.887073522,8.843425177,5.039244682,4.504767464,11.86640893,10.40721082
201301,7.991691265,12.35410035,9.313406974,8.965645657,9.878083901,9.421369291
201302,4.565701559,2.806260119,5.567663959,3.417634997,3.51214398,3.794133767
201303,8.132442637,4.770341207,10.42605105,5.841044283,5.992572586,6.947212428
201304,12.42725401,10.89747604,9.66261579,10.31925689,12.62939959,12.69481011
201305,-2.381141993,-5.737843791,-6.866088035,-2.922238732,-1.102941176,-2.207586636
201306,-0.122369065,-0.790845366,1.522715926,0.167638484,-0.107234773,0.102610053
201307,-0.343053173,-0.259677517,-1.180231129,-0.618496689,0.014313319,-0.389807262
201308,-2.335874109,-2.167595059,-2.338890271,-3.119051106,-2.31842576,-2.388578883
201309,8.70258476,6.300284689,7.031847134,8.4643289,8.006739433,8.416113561
201310,-0.015440439,1.385654401,0.420534793,-0.487736901,-0.250949539,-0.014380607
201311,5.150181453,4.973010222,3.531921618,4.033048593,5.500781941,5.892787431
201312,3.084153326,2.303063457,2.197969931,2.678691614,3.235369941,3.507467031
201401,-5.399629577,-4.374097642,-4.376073482,-3.814892501,-6.193032838,-6.711614887
201402,-0.15813253,2.247944976,0.335806326,0.729180864,-0.199653933,-0.452794802
201403,0.015084094,-0.525020509,0.295765878,0.263852243,-0.533475593,-0.261743115
201404,-2.654400121,-1.028093903,-1.707279218,-3.056680162,-2.983373559,-3.369763206
201405,3.780308312,4.677258082,3.85283436,3.960464954,3.496648469,3.64715328
201406,4.971262223,4.945871365,3.687091379,4.144349223,5.101155104,4.787853886
201407,2.339472374,2.229975728,2.47818755,3.297974928,1.85502827,2.098774162
201408,-0.694830461,0.291833605,-0.207483723,0.292506846,-1.147633007,-1.167900675
201409,3.729359082,3.462221345,3.355319759,5.938566553,4.612278377,4.958688215
201410,0.607082631,1.220326056,2.594339623,3.122071228,0.180940893,0.866103022
201411,6.054307744,3.400207215,4.645030426,4.879295655,6.026490066,6.19840181
201412,0.36034897,-1.480233194,0.381210829,-0.774480069,-0.317983079,-0.411357082
