yyyymm,fund,mkt,smb,hml
201002,-0.029142188,-0.859201733,1.531122164,-0.405425926
201003,2.587710663,9.338191687,1.746142533,-1.790253577
201004,2.827861417,0.813623486,4.436679776,0.931490647
201005,-3.370466026,-10.59528863,0.162733067,0.5616935
201006,-0.014281762,-4.076687093,0.349155828,0.724722783
201007,-0.78839498,0.663708693,-1.12420614,-0.731657706
201008,0.355266228,-5.254106019,-0.645051267,1.439251207
201009,-0.022067864,3.01297924,0.488731713,-0.973590721
201010,-2.962986544,-2.522404734,-5.295940017,1.210437453
201011,1.518707282,6.165114638,3.230754453,-0.861572892
201012,2.376560141,4.262432988,3.388908868,1.760462238
201101,2.435227475,1.360763205,3.086514022,-0.810482839
201102,0.792578818,4.485197567,-0.308890333,0.373678686
201103,1.845856687,-8.275864556,4.241618917,-0.77163323
201104,-0.360590151,-1.750858463,-3.197827218,1.095165455
201105,-0.27029079,-1.316038303,-0.406564392,1.312245421
201106,1.359289496,1.304935628,2.753463311,-0.134610862
201107,0.499026075,-0.835841636,-0.366109116,1.325965164
201108,2.17118847,-7.986558462,5.366605058,2.592042844
201109,0.560254888,-0.713415632,0.564029381,3.752774296
201110,-3.272426719,0.31734826,-3.682731884,-0.135382103
201111,-1.543964148,-4.598189162,2.251695595,0.243820034
201112,0.866811105,0.263453739,1.082500992,0.52223208
201201,0.415764856,3.36311084,5.869036596,-3.88609779
201202,-0.659914121,10.21771202,-2.403404501,1.457706254
201203,2.227739357,2.468771318,1.069781132,2.126609953
201204,0.061251588,-5.54445067,1.777322646,0.761667452
201205,-4.187871709,-10.26308649,-0.847395606,0.689726004
201206,3.215816866,6.901327644,1.134356097,1.077717549
201207,-1.606807022,-3.993467115,-0.786450317,2.712114229
201208,-0.416973257,-0.407476468,-1.275815721,0.325064668
201209,0.177471229,0.694775618,-0.588346979,1.245998666
201210,0.081840432,0.452351412,-0.273125659,0.361867421
201211,2.234912741,5.12121291,0.49851554,0.122038185
201212,0.705272837,9.301278701,0.440910627,-0.060712336
201301,1.58514392,9.362613464,0.617213194,1.44482062
201302,0.449913438,3.92117123,-1.189832926,2.239624304
201303,2.548039939,6.202084058,0.619854227,1.199595772
201304,2.322464965,12.6147105,-3.686642666,2.901370039
201305,-0.33150496,-2.432388797,-0.703693574,1.352535953
201306,-1.959876355,-0.195452488,-3.262881715,2.640184887
201307,0.514428578,-0.002929817,1.696303086,0.492590111
201308,0.236242035,-2.273073785,0.50763979,0.19761595
201309,2.019921922,7.895290257,4.529328285,-3.505498653
201310,0.607082732,-0.000513107,0.321647732,0.98402489
201311,-0.342615731,5.212197884,-3.427158428,1.023285929
201312,-0.078124226,3.405907109,-0.280755586,0.593077318
201401,1.382113049,-5.902134919,4.355838005,2.070389294
201402,-1.29825948,-0.593744664,-1.905193389,1.779027228
201403,3.04517235,-0.733988034,3.242924161,0.545892631
201404,-0.128897122,-3.307709323,0.141537142,0.453004301
201405,-0.254815943,3.305988329,-2.542459774,2.02521202
201406,3.639967261,5.092385433,2.725965839,0.571175982
201407,0.755959487,2.184761518,0.079733728,-0.797805193
201408,0.855345927,-0.891815306,3.768198718,0.509603576
201409,2.308051062,3.651168052,-0.492714119,1.791789061
201410,-2.040265817,0.527261576,-3.07961998,0.677969387
201411,1.606881122,5.514074508,-1.851546907,-0.366992961
201412,1.560115495,-0.114389065,1.584150996,1.929457142
201501,-0.174114849,0.865440398,-0.396077662,-0.149366406
201502,3.199137843,7.44936805,-4.610002943,2.815157204
201503,-0.281423612,1.376095929,-0.823343956,-0.39818669
201504,0.283079116,2.971383809,-1.206603003,4.137045296
201505,0.139184108,4.972172794,-2.477371756,2.507432297
201506,-0.030668847,-2.296472322,2.770288927,1.287979439
201507,0.46249677,2.25991434,-1.4472298,-0.319130878
201508,-2.505916744,-7.343916464,3.070174917,-0.196699266
201509,-2.515924628,-8.026603138,2.76335794,0.672735438
201510,1.523532324,10.16054163,-4.436306926,0.93682228
201511,2.005200761,1.734919837,2.184893398,-0.17452956
201512,0.619118611,-2.013683673,0.13685616,1.742371036
201601,-2.696005524,-7.123312697,0.617958903,-0.975538811
201602,-0.110509577,-9.179384949,2.422373901,-1.114808407
201603,2.836004604,4.048006597,3.222996003,-0.728868636
201604,-0.263065161,-0.750819089,-0.353666869,0.38314419
201605,0.788192617,2.843271524,0.244883309,-0.473942239
201606,-1.569645121,-9.431745639,2.111650079,-2.161221593
201607,4.15885294,5.965551787,-0.156970598,4.071794189
201608,1.072860993,-0.090855892,-2.355384354,3.661933696
201609,2.333655872,-0.202414221,4.836990252,-1.398143387
201610,3.638041043,5.046312358,1.172875988,2.512470359
201611,4.007955242,5.04000301,-0.933730384,3.663465737
201612,1.515636394,3.43948846,0.118680511,2.892106596
201701,0.738904686,0.026492107,2.489603288,0.530306422
201702,1.693075243,0.93355628,2.439886258,1.080238194
201703,-0.249280995,-1.357022564,1.474030819,-1.607885721
201704,-0.54545079,1.239198041,-1.23072565,0.104194433
201705,0.415453688,2.452647424,2.351382574,-4.025172696
201706,1.786381141,2.587816837,0.990780287,1.95116063
201707,0.74353923,0.408310161,2.098368808,-0.678935111
201708,0.117046499,0.076278744,2.762847827,-0.540370312
201709,1.79852408,3.404532222,1.217529842,1.014021577
201710,-0.143534725,5.31724674,-0.726812823,-0.222560407
201711,0.1727238,1.651407386,-1.162474371,0.361185647
201712,2.887800911,1.280294031,2.675311026,0.867854058
201801,-1.120053086,1.127323383,0.171336168,-1.679717067
201802,0.278420998,-3.626791442,0.875829649,0.160691858
201803,-0.450530523,-2.71268234,0.144720617,-1.731542716
201804,2.60839462,3.497194815,-1.623367821,2.875475992
201805,-0.757113235,-1.697461992,0.288629719,-3.47772009
201806,-0.165027888,-0.851811848,0.266207954,-0.262095931
201807,0.18765923,1.150448757,-0.487853022,2.31940345
201808,-1.681562637,-0.987259336,-1.412475477,-0.831877456
201809,1.080354515,4.686466823,-0.682858107,-0.043059419
201810,1.252693779,-9.329527739,-0.104725533,3.437881694
201811,0.008640046,1.491345025,0.559227058,-2.089136639
201812,-5.221950068,-10.38355438,-3.918227831,1.059411316
201901,-0.53473459,4.556891873,-1.951403399,1.131042836
201902,2.405525902,2.76875647,3.194190574,-1.751725395
201903,-1.453463963,-1.159738057,0.333315562,-2.916566491
201904,-0.29664656,1.755154348,0.106733928,-0.642505522
201905,-0.060116771,-6.244038601,1.207046678,-1.126889244
201906,0.022246865,2.422299966,-0.09916213,0.582742569
201907,0.171223759,1.011551293,2.137774598,-1.859017766
201908,-2.45237427,-3.348985093,-2.330325383,-1.231764876
201909,1.775508211,4.806118655,0.088700628,0.635279321
201910,3.245758452,4.951635189,2.170005332,1.450413967
201911,0.400041254,2.048605976,0.120914277,-0.085668326
201912,0.368609517,1.280493958,1.848455055,-0.479883522
202001,-1.884798632,-2.143808308,-1.519149608,-0.67649855
202002,-3.770780342,-10.04373883,-5.615790896,2.016093143
202003,-0.351799754,-6.472755944,2.228914834,-1.23572276
202004,0.666277496,4.319187563,1.69706221,-2.989592062
202005,0.633969819,6.79552641,2.040583146,-4.376375555
202006,-2.522960404,-0.184073259,0.803890747,-3.552895948
202007,-2.649923464,-3.89478289,-1.331503799,-3.41792035
202008,2.697735299,7.798575624,0.079999855,0.648551312
202009,6.284398124,0.864227592,7.904358385,-4.530971283
202010,-2.519008485,-2.730544635,-2.339900601,-0.404848673
202011,1.505393404,10.70721651,-5.165418108,-2.318538265
202012,0.272609538,2.796599521,-2.093309905,2.295585705
