yyyymm,fund,mkt,smb,hml
200011,2.303627439,-1.410558126,5.290523152,-0.79464727
200012,-0.898718479,-5.800289849,2.556640161,-3.847766404
200101,0.022908211,1.189238899,-0.495137911,0.158257096
200102,3.376136693,-4.458849354,9.528172459,0.564879144
200103,1.834460115,2.946846613,1.829685217,0.312519482
200104,2.174884138,6.562692037,4.10349056,-0.678379816
200105,-0.941871552,-4.19539097,0.528957914,3.639811199
200106,0.088247857,-0.892190756,6.089064399,-0.349081941
200107,1.539733313,-8.41590334,1.073566776,1.609744383
200108,1.709772807,-7.295588458,7.338962296,-1.826902289
200109,-0.310136428,-7.131591766,-2.915613839,9.244776981
200110,3.377102326,3.173718849,3.021512562,-0.208593068
200111,-4.000737001,-0.952771364,-5.135337488,2.340526659
200112,-0.515681846,-1.899552168,-4.840978407,1.636354491
200201,0.170029181,-5.885713997,3.600922285,-0.920027279
200202,4.466164823,4.3748596,4.947660985,-2.495164271
200203,0.765496197,4.790069607,-4.909245633,5.139830278
200204,0.021596873,2.035838714,0.791735359,-2.530250217
200205,4.830398929,3.715154372,4.462160587,3.314349346
200206,-1.92908134,-8.575450426,1.127208667,1.168652928
200207,2.528170008,-5.696063319,4.689350388,0.781108593
200208,-0.387788323,-2.448247558,0.225032343,1.385693015
200209,-1.022141673,-2.220236009,1.769844945,-0.608240043
200210,1.953526737,-6.215539278,-2.881227297,6.154079838
200211,-0.019988837,3.424708285,-4.954217823,-0.070248411
200212,0.057361904,-5.43237352,1.71963323,0.771011696
200301,2.875813305,-2.673318331,4.94856891,-3.6865759
200302,0.935102302,-0.281296129,6.731487379,-3.726047426
200303,2.481698571,-3.695271594,4.764086219,-0.048938199
200304,2.391380756,1.054398643,4.511771192,-0.13772647
200305,2.484295726,5.096015212,3.36956648,-0.542926095
200306,-0.327552841,7.960409352,1.725253206,-3.806409126
200307,0.333681464,4.046376199,-3.015523868,3.716545067
200308,-1.743340112,6.749847434,-2.238176484,-2.440756056
200309,2.346467616,2.136256182,0.810450899,5.724407707
200310,0.020304961,2.313317958,-1.05688282,-0.345732924
200311,-0.834271034,-4.177821604,-1.969507501,4.486300812
200312,0.142509378,4.293526188,-0.696195737,0.263780773
200401,-0.551716987,0.242418217,4.196872372,-2.571397242
200402,4.544851662,3.324284429,1.714880411,3.159148467
200403,5.368446145,9.39130379,5.626314257,3.923971945
200404,4.677657618,0.912314275,2.878938226,3.162415809
200405,-0.91423956,-4.117252834,-0.74239474,0.939531114
200406,2.454833473,4.32052619,4.216188496,0.399536246
200407,1.341107053,-4.372187594,0.829716627,2.681738201
200408,0.164614106,-0.891185027,0.613657839,-0.854363821
200409,-1.104013537,-2.459733652,0.841870396,-1.075306551
200410,-0.186152834,-1.360432711,-0.208725207,-0.070040221
200411,-0.497866592,1.339352042,-1.491105972,-0.641573134
200412,0.300828705,4.7703536,0.323110328,1.173906256
200501,1.22084903,-0.346475699,5.755320084,-1.195560243
200502,-0.651580168,2.692537421,2.202944184,-1.958937986
200503,1.189317179,0.440429668,2.636456204,1.10247422
200504,1.1342701,-4.450395065,1.956509765,1.272585056
200505,-0.740047954,1.313074537,-1.768119231,1.052402238
200506,0.694271946,2.891749925,1.182924491,-0.1511074
200507,0.806434689,2.331971511,0.584994338,-0.685259787
200508,-0.312663634,5.644906006,-3.824519074,1.0995338
200509,0.314084192,11.15476061,-5.786737546,-0.012342388
200510,2.481627301,2.424323405,2.299527005,0.031106516
200511,0.445619275,6.295881785,-1.508662364,-2.207920657
200512,2.143930496,7.632732102,1.041181937,-1.648640461
200601,2.567049721,3.512865228,2.42529208,-0.92117515
200602,-3.514082363,-3.162943391,-4.093241767,2.069856168
200603,1.487632508,4.027513482,0.889572095,-0.784491393
200604,0.721892859,-0.819777042,-0.272901262,2.881061325
200605,0.22005965,-7.975070485,-1.083225764,1.575978039
200606,0.209641808,0.289036073,-2.742126208,1.892289846
200607,-3.293566159,-1.219369563,-4.477905273,1.966947074
200608,0.498995181,4.096570861,0.271102077,-2.391940221
200609,-0.905125939,-1.358506498,-0.973770897,0.12013749
200610,-0.276863485,0.554782834,-2.879396961,0.214324354
200611,-1.381594333,-0.924621994,-1.986921781,0.531383925
200612,-0.147547819,4.656274841,-1.67777077,-1.477627114
200701,-0.124401798,2.296477426,0.68803692,-1.580539392
200702,-1.418064997,1.640044245,-0.378394612,-2.16997946
200703,-0.692252669,-2.178092311,0.337383546,-0.667587091
200704,-1.108422151,-0.924808335,-0.550298966,-1.016459466
200705,0.486062658,2.886988522,-4.410480217,0.734936957
200706,1.563996128,1.113220481,2.790603215,-1.63319763
200707,-3.736723925,-3.969819362,0.498467383,-3.152192031
200708,-1.712902971,-5.45940082,-2.992848946,3.115222449
200709,-2.909794904,0.281926397,-1.544280547,-3.073430284
200710,-0.114404111,0.594703211,-1.004161038,0.739002222
200711,-0.785778319,-5.361860673,-1.153188147,3.626191743
200712,-1.536010923,-3.391395957,-1.995120307,2.420525158
200801,-2.782618288,-9.127955423,1.11635571,0.523396263
200802,-1.195408143,-1.449834469,1.489741876,-2.003046805
200803,1.163508607,-8.019578422,3.306527946,0.179982533
200804,-3.103593213,10.93374561,-5.56797002,1.623030138
200805,2.798424975,3.763796533,2.832919803,0.157278913
200806,-0.311782117,-6.054179898,3.244958925,-0.705083656
200807,0.252269696,-1.240963911,0.289085191,1.649154459
200808,-1.298261759,-3.487487137,-2.468435907,1.100742228
200809,-0.841480942,-13.28876271,0.90566296,3.361582531
200810,4.413308729,-19.72251364,8.836406611,0.136200661
200811,1.211211983,-3.069915807,2.033269418,0.7544986
200812,-0.213484896,3.018311827,0.465797818,-1.761451101
200901,2.541223066,-7.495410526,3.595435026,2.235386176
200902,0.725344389,-4.258972707,-0.561642442,2.25892857
200903,1.58614875,1.779694606,4.15875474,-1.282855212
200904,1.54809031,7.768963182,-1.311944609,-0.675799084
200905,2.636619123,7.101254222,2.410289062,2.483136534
200906,4.222360854,3.815302259,5.609355308,2.53669501
200907,0.247598537,2.235489392,-1.119285071,1.634461781
200908,2.324880575,1.649623864,2.775504069,0.597836462
200909,2.748439619,-5.321992582,0.367946546,4.423519219
200910,-2.402246704,-1.822481316,0.057893171,-2.176510727
200911,-1.689031907,-6.166819948,-3.686981286,1.74372331
200912,-1.147061935,8.008307696,-0.926051872,-1.559880054
201001,1.108404359,-0.687266951,-0.431196089,2.423394848
