yyyymm,リバーサル,低ボラ,モメンタム,小型
200011,4.45032831,2.028309822,2.073834762,2.914605262
200012,-4.03034157,-0.260825668,-7.647078824,-4.467286389
200101,7.505404546,-1.499640956,-0.189317094,1.187305584
200102,-0.941062699,1.34832662,-2.113742292,1.224415323
200103,4.860756165,2.727674715,4.439763725,4.59772555
200104,9.700656294,5.433921452,9.947136816,10.74838916
200105,-1.714336152,-1.428493464,-5.45283172,-3.469743738
200106,-2.384056147,4.695427199,0.896934811,2.776802076
200107,-11.23080611,-1.680434995,-9.019952509,-7.385585003
200108,-8.613565641,-1.602903396,-1.169527489,-3.496764362
200109,-10.28530501,-1.553882126,-10.25886984,-8.558762591
200110,9.72703551,2.266836623,5.468655288,5.715962676
200111,0.425564288,-4.671849496,-8.117663388,-4.840342481
200112,-10.27622672,0.966801908,-9.556510439,-5.754151664
200201,-0.814428206,-4.725120814,-3.339152817,-2.886062856
200202,7.478686712,5.620073737,6.200788578,7.518378062
200203,11.95025181,-2.842082012,0.498171565,2.420332318
200204,0.889012734,-0.201702086,1.379272251,2.029261071
200205,9.531372921,4.118916324,5.14854778,6.548567723
200206,-9.440819652,-4.225348352,-8.138402479,-7.99451116
200207,-5.985954219,-1.69161509,-1.452295424,-2.890836617
200208,-4.181269,0.610616259,-3.277814444,-2.439148248
200209,-6.603356984,2.179915834,-1.25677295,-1.527677515
200210,-14.97800776,-1.538627464,-6.632323926,-8.271730552
200211,1.226054679,-0.144220497,0.566461189,0.116008823
200212,-6.020363877,-2.22967999,-3.977092555,-4.390607581
200301,1.739596299,-2.399123409,2.914756338,0.882098708
200302,6.170130272,2.584737728,4.62659331,5.220701768
200303,-5.247001422,2.000695901,0.882129517,-0.509357443
200304,4.195601152,3.461504643,5.323292636,4.853546395
200305,14.18523908,2.543698662,8.034764864,7.605909203
200306,17.58050102,1.510084982,12.24863272,10.50638274
200307,3.838009465,-0.929265792,-3.110051617,1.538143248
200308,6.434135382,-0.30323197,10.89210635,6.338041237
200309,5.880371977,2.90830249,4.255639743,3.104486781
200310,2.502076403,-2.171189315,2.835907219,2.013089608
200311,-3.943153295,-0.960018017,-13.40916482,-5.997571728
200312,0.976226082,3.10112788,4.39814293,3.671629897
200401,2.330162022,-2.097254641,6.857099524,3.246857131
200402,3.925997947,4.366546881,1.703388963,3.805714439
200403,10.23144708,7.35281835,24.60116176,13.83910288
200404,2.098364454,0.734165744,1.976797848,2.207356122
200405,-2.639851904,-1.407904243,-10.15263465,-4.648230167
200406,4.080173372,4.020561033,10.2512503,7.111603622
200407,-4.795259091,-0.979713753,-9.283641071,-4.566201402
200408,-0.003283696,-1.168732319,1.642799161,-0.464621824
200409,-0.878148053,-1.205015875,-4.09032847,-1.589296849
200410,-1.813472737,-1.656307786,-2.683148493,-1.180591782
200411,0.320671851,0.719016609,-0.175239812,1.036943449
200412,3.982299124,4.876812012,2.800346522,4.846752646
200501,3.051190077,2.706565115,6.438872278,4.032037796
200502,2.34502735,3.408786985,4.224936794,4.178917318
200503,0.881343893,5.423013913,0.51697587,2.387099036
200504,-4.057939998,-4.588836044,-3.583837327,-3.464768019
200505,-1.202032982,0.451598671,-1.150307783,-0.034410203
200506,4.588281466,2.876355606,3.415413503,3.910207049
200507,1.392185076,1.888672278,4.732640559,2.918950288
200508,1.764282022,2.284837038,4.689323619,3.07725957
200509,2.459518281,6.41861514,8.515107466,7.308792587
200510,1.945649996,5.602901055,6.750496333,4.447475056
200511,5.954153901,2.207236489,5.375746888,5.625936093
200512,5.667836217,5.53500699,12.04583535,8.551854169
200601,2.74532713,4.122007995,1.269590387,4.222409696
200602,-6.388500829,-2.707251929,-10.23385721,-6.163886168
200603,5.717447297,2.3114754,6.142994235,4.810113008
200604,-1.303719599,-0.562128399,-2.38011184,-1.40756125
200605,-9.813135088,-5.608533416,-11.38843389,-8.844508717
200606,-2.331255632,-0.802576057,-2.928691148,-1.469686805
200607,-7.884240682,-1.6292083,-6.247231836,-4.668640838
200608,8.275358519,3.178142325,4.856706962,4.911129835
200609,-3.009905695,-1.797026526,-1.550647954,-1.632401239
200610,-0.979337127,-2.280067849,-1.321521031,-1.477389634
200611,-4.084273336,-0.71271609,-2.908270935,-2.371819599
200612,-1.301252084,3.9285093,3.52280007,2.857041052
200701,7.812064736,2.081301559,1.854160423,3.291654513
200702,2.221767445,2.570182306,1.360577191,1.542694154
200703,-2.336102213,-2.21446723,-0.680396451,-1.796186659
200704,-4.389529729,0.148064984,1.077292807,-1.10952321
200705,-0.933310231,-0.809324157,2.953172224,0.077325364
200706,2.649391961,1.067363625,4.222468495,2.845317106
200707,-4.326105071,-3.411908769,1.144474877,-3.336738217
200708,-11.53070915,-3.209614021,-8.117424689,-6.933269436
200709,-7.077306154,-0.618664822,4.469512485,-1.352283166
200710,7.644992984,-1.240613219,-0.591293859,1.061085012
