yyyymm,リバーサル,低ボラ,モメンタム,小型
200711,-7.946548045,-2.165829918,-9.862890973,-6.229459832
200712,-5.407172712,-3.371705622,-7.862004929,-5.042241703
200801,-9.000657714,-4.466864744,-9.598746838,-8.641595657
200802,4.394029546,-2.093076962,2.413076784,-0.200784296
200803,-8.390342216,-3.102821512,-5.674354065,-5.560973207
200804,13.53238247,3.37084707,2.330931793,7.358025738
200805,8.308568792,1.775895118,3.234620427,5.541492353
200806,-9.783408518,-0.911710557,-2.729167844,-4.193681629
200807,-5.693871277,1.437240757,-0.897580055,-1.243099304
200808,-14.33283558,-0.690605713,-4.621658139,-5.854747377
200809,-11.95002201,-7.320000262,-12.14158909,-11.94155997
200810,-22.71541466,-6.108647049,-15.34558624,-16.07291785
200811,-0.001654423,1.342756597,2.285766011,0.049618412
200812,7.419187764,3.493760887,4.3692861,4.288228485
200901,-3.616105602,-5.021738881,-7.702031917,-5.741584492
200902,-10.16504823,-2.828089026,-7.760796117,-6.001828082
200903,19.77947114,0.910550605,-0.333591165,6.002636035
200904,27.81023245,-2.365313009,0.791630619,7.072002482
200905,18.20012753,2.467969903,7.680338559,9.408225696
200906,13.18672549,4.017887179,8.90286472,8.941127428
200907,-0.716072142,0.089941034,0.318441751,0.628280772
200908,5.890276228,2.089652642,4.445021313,3.799887743
200909,-7.801514933,-2.227860138,-5.741750376,-4.996755164
200910,-0.756075876,-2.452224247,-1.213819922,-2.044389986
200911,-9.267122726,-4.219234336,-13.15170383,-9.135309506
200912,7.501777483,1.209958803,9.883543464,6.89430821
201001,0.079936593,-1.002494264,-1.126551211,-0.224009623
201002,0.510363176,0.237738884,-3.365818037,-0.060340351
201003,9.39207073,4.346565367,14.32289848,10.55753666
201004,3.39709467,-0.120302764,5.844943488,4.713372424
201005,-8.854114075,-6.356635871,-11.47583469,-10.15387811
201006,-2.753792291,1.997750425,-4.768952543,-2.865876971
201007,-1.962654489,-1.416901978,-1.330450213,-0.897600312
201008,-6.714769113,-1.126191231,-8.594800855,-5.912268314
201009,2.325474496,-0.408664363,5.221094501,3.074979463
201010,-7.550431976,-7.299905875,-7.191215106,-6.091713838
201011,16.25925108,2.693223563,9.586588526,8.209943436
201012,7.845608018,3.325466937,7.989240733,6.678078903
201101,1.69547047,1.889640731,6.634116591,2.999875617
201102,4.431892498,3.07952907,6.814254964,4.436259714
201103,-4.418418154,-4.99466916,-9.519977692,-4.131671094
201104,-3.420891145,-3.953036125,-3.849330573,-3.387012127
201105,-1.3574889,-1.841007692,-2.218292852,-1.431043482
201106,3.91400332,2.91630594,3.515575021,3.341069592
201107,-0.779517581,-0.436101929,-0.868923906,-0.346800886
201108,-3.271017356,1.082121439,-5.175365573,-4.122556051
201109,-1.277938575,4.365148347,-4.973578077,-0.112653703
201110,2.13032689,-4.374503029,-0.282036874,-1.980704688
201111,-4.905128175,-0.371173267,-3.700481688,-3.038775531
201112,0.998600251,1.199916643,0.626121928,1.32065805
201201,10.04814447,2.133284658,11.5654981,6.446378177
201202,15.16088144,4.283481344,2.170577119,7.806550053
201203,0.370191074,1.405153391,5.185135884,3.165178564
201204,-7.224834807,-2.744345954,-1.267432529,-4.278115164
201205,-14.78815992,-6.405261103,-11.70074905,-10.75306302
201206,8.562107447,5.559049531,7.296738572,7.488470504
201207,-9.740179269,-1.785630107,-4.126696951,-4.374921286
201208,-5.283027768,1.56673576,-0.192374354,-0.687809624
201209,0.122711352,1.008549949,0.725664099,0.665875534
201210,0.98915371,-0.639042225,1.297804136,0.448005787
201211,10.85876895,0.784996636,4.230304716,4.795084089
201212,15.87312325,3.814147942,10.34366144,9.279849006
201301,7.729680378,7.573257546,10.53820991,9.501507216
201302,2.688321908,3.372249447,3.17903057,3.306577058
201303,5.073732086,5.761487583,16.44292909,7.518743301
201304,9.02654774,5.396402245,19.63911732,10.88021809
201305,2.286404361,-3.885715794,-10.08797014,-2.996347792
201306,-1.821404885,0.769381716,-5.66392138,-2.212221748
201307,1.456137041,-0.426090577,4.028772085,1.296012615
201308,-0.08874767,0.28132732,-4.527417141,-1.847965916
201309,7.617158817,4.267849785,14.44008506,10.60609469
201310,0.733043696,0.50080622,-1.145210628,0.472216774
201311,1.763496616,1.552160503,2.135687518,3.259639512
201312,3.310083377,2.238525519,3.764897912,3.219758339
201401,-1.870688985,-0.524162247,-3.979235455,-2.488193231
201402,-1.25101645,0.170202862,-3.835011995,-1.978649767
201403,2.665520109,1.975861134,-0.814782386,1.161280751
201404,-1.717178746,-0.773286684,-5.536173231,-2.887266384
201405,2.269729132,1.384605914,1.744693873,1.741807981
201406,8.488045986,4.611842217,7.677324172,6.984047178
201407,1.94311725,1.504503961,4.204819674,2.247634263
201408,-0.382757376,1.086911378,5.406166297,1.443079065
201409,1.720264487,1.971755183,1.744871556,2.632002715
201410,-3.650054743,1.183065061,-2.662335682,-1.240683836
201411,3.532071932,1.816160506,5.418381064,3.947152223
201412,0.849163845,2.145128762,0.754113437,1.517028386
201501,-1.76308997,3.116273696,0.467049104,0.748005029
201502,5.304283713,3.828929941,2.680141357,5.006719379
201503,0.774313362,0.826418374,1.369195682,0.857098775
201504,2.695631855,1.473893425,0.014735172,2.58902753
201505,1.189284704,3.450513904,3.645456379,3.843199668
201506,-0.757793428,1.056590737,2.115711904,0.054975081
201507,0.272678231,3.377272379,3.210719304,1.385255212
201508,-8.177149328,-2.740804107,-5.726790252,-5.46549093
201509,-7.43275985,-5.169458095,-6.854745631,-5.851990418
201510,9.547686247,4.463904306,3.790572167,7.421381822
201511,4.658372111,3.825425656,4.338996229,3.474590193
201512,-4.899943183,-0.932915053,-1.421131939,-2.132394434
201601,-8.584025567,-3.763924421,-5.039439414,-6.383564236
201602,-7.782007172,-5.361516696,-8.755190127,-8.254914376
201603,7.894610106,2.646259682,9.791819014,6.189792981
201604,0.369920721,-0.641485959,-2.512210008,-1.071207325
201605,4.353939941,1.017975395,6.001760095,3.240945799
201606,-14.11407526,-3.98218456,-5.49284298,-8.418183046
201607,9.882651479,3.709034879,0.843055259,6.048184132
201608,2.438428579,-2.559015147,-7.715511395,-1.73055507
201609,2.597836812,3.362912481,7.689438934,3.277439881
201610,8.517377925,4.002043521,2.356064228,6.028625162
201611,9.262742031,2.152592521,-0.310799685,4.60888857
201612,7.580340806,3.169156111,2.304358276,3.871035871
201701,0.860192407,1.610598746,3.599166369,1.516001125
201702,4.119299906,2.353319586,2.511015389,2.652717622
201703,-1.257369272,-0.866602116,2.118264615,-0.528691759
201704,0.690679786,0.819155898,-1.27225092,0.757161054
201705,3.663018513,2.639773731,7.386997774,3.735269218
201706,4.180044261,2.949894197,3.76994609,3.811164758
201707,0.566591601,1.75222775,2.131506491,1.737162899
201708,-0.040056427,2.189519088,3.655781269,1.870552361
201709,2.384783448,1.966299401,4.797220568,3.965019115
201710,3.152514262,3.292115683,5.494542086,4.704575312
201711,0.060827849,1.898969093,2.325449609,1.297245596
201712,1.800910561,2.595028578,4.437873555,3.045714331
201801,0.757088918,-0.408964444,3.762837827,1.29846978
201802,-3.03207366,-1.780445008,-3.229513567,-3.0269582
201803,-2.15900649,-1.637711574,-2.696171254,-2.346731128
201804,3.635107035,3.006568063,-1.958557571,2.565767153
201805,-2.549528238,-0.299115321,-0.412261329,-1.237537969
201806,-0.817639906,0.301348844,-1.781065401,-0.954978826
201807,1.262721043,-0.48881228,-2.069973336,0.479749854
201808,-1.220587977,-3.661482956,-0.646411996,-1.886116556
201809,3.371608324,3.074789608,4.667530356,3.705822395
201810,-9.748183965,-6.338779292,-13.51587699,-9.391812911
201811,3.38160925,1.555379795,0.902560229,1.89857164
201812,-16.98609401,-8.516463887,-14.22410981,-13.2407396
201901,8.976140367,0.361553572,2.586858671,3.974651993
201902,5.643244313,4.176289595,4.886287512,4.37482369
201903,-1.032589486,-0.962665495,1.492681561,-1.279730027
201904,4.502533828,-0.062005624,0.083792532,1.577250262
201905,-8.204747643,-2.705136072,-3.57262765,-6.301025823
201906,5.85337508,0.546027386,1.193281694,2.494001586
201907,4.008517731,1.615726395,2.292203712,2.154611348
201908,-7.440101226,-2.495714511,-4.863310618,-4.916676781
201909,8.227628793,3.443876928,2.791591084,5.37654498
201910,8.103075043,4.222862972,2.965186894,6.404643251
201911,2.464001998,0.899760683,4.468921987,2.318932102
201912,1.048434886,1.25583365,4.055853803,2.187215601
202001,-5.088561243,-1.897678942,-4.205067097,-3.598498933
