code,企業名,翌1M収益率
1301,極洋,-0.657894737
1332,日本水産,7.608695652
1333,マルハニチロ,8.382352941
1352,ホウスイ,0.17211704
1376,カネコ種苗,5.908513342
1377,サカタのタネ,6.640106242
1379,ホクト,-4.592592593
1384,ホクリョウ,-9.19199407
1413,ヒノキヤグループ,8.228730823
1414,ショーボンドホールディングス,5.477707006
1417,ミライト・ホールディングス,2.361275089
1419,タマホーム,-22.87270252
1420,サンヨーホームズ,9.309967141
1429,日本アクア,5.011933174
1430,ファーストコーポレーション,-1.204819277
1433,べステラ,-1.972872996
1435,TATERU,-23.5945835
1514,住石ホールディングス,4.375
1515,日鉄鉱業,8.441558442
1518,三井松島産業,3.698811096
1605,国際石油開発帝石,6.572948328
1606,日本海洋掘削,-4.977600796
1662,石油資源開発,17.20872787
1663,Ｋ＆Ｏエナジーグループ,3.703703704
1712,ダイセキ環境ソリューション,7.164179104
1716,第一カッター興業,8.648901356
1719,安藤・間,10.11235955
1720,東急建設,1.471861472
1721,コムシスホールディングス,7.394366197
1722,ミサワホーム,4.391891892
1726,ビーアールホールディングス,7.197943445
1762,高松コンストラクショングループ,-1.956882255
1766,東建コーポレーション,-0.535795714
1768,ソネック,2.454780362
1780,ヤマウラ,1.124859393
1801,大成建設,9.444444444
1802,大林組,8.419243986
1803,清水建設,13.98527865
1805,飛島建設,-0.564971751
1808,長谷工コーポレーション,6.54725139
1810,松井建設,9.296482412
1811,錢高組,8.565737052
1812,鹿島建設,6.889564336
1813,不動テトラ,-1.058201058
1814,大末建設,-1.047619048
1815,鉄建建設,7.36497545
1820,西松建設,14.29112964
1821,三井住友建設,6.349206349
1822,大豊建設,11.91275168
1824,前田建設工業,7.729083665
1826,佐田建設,4.565217391
1827,ナカノフドー建設,-1.111111111
1833,奥村組,8.10488677
1835,東鉄工業,0.306748466
1847,イチケン,2.467586784
1852,淺沼組,0.751879699
1860,戸田建設,17.25032425
1861,熊谷組,9.064327485
1865,青木あすなろ建設,7.433808554
